rank,app_id,app_name,developer,developer_link,category,category_link
1,com.google.android.apps.subscriptions.red,Google One,Google LLC,/dev/Google+LLC/,Productivity,/stats/google-play-rankings/top_grossing/productivity/us
2,com.zhiliaoapp.musically,"TikTok - Videos, Shop & LIVE",TikTok Pte. Ltd.,/dev/TikTok+Pte.+Ltd./,Social,/stats/google-play-rankings/top_grossing/social/us
3,com.amazon.mShop.android.shopping,Amazon Shopping,Amazon Mobile LLC,/dev/Amazon+Mobile+LLC/,Shopping,/stats/google-play-rankings/top_grossing/shopping/us
4,com.openai.chatgpt,ChatGPT,OpenAI,/dev/OpenAI/,Productivity,/stats/google-play-rankings/top_grossing/productivity/us
5,com.peacocktv.peacockandroid,Peacock TV: Stream TV & Movies,Peacock TV LLC,/dev/Peacock+TV+LLC/,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
6,com.spotify.music,Spotify: Music and Podcasts,Spotify AB,/dev/Spotify+AB/,Music & Audio,/stats/google-play-rankings/top_grossing/music_audio/us
7,com.wbd.stream,HBO Max: Stream TV & Movies,"WarnerMedia Global Digital Services, LLC",/dev/WarnerMedia+Global+Digital+Services%2C+LLC/,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
8,com.crunchyroll.crunchyroid,Crunchyroll: Anime Streaming,"Crunchyroll, LLC",/dev/Crunchyroll%2C+LLC/,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
9,com.tinder,Tinder Dating App: Chat & Date,Tinder LLC,/dev/Tinder+LLC/,Dating,/stats/google-play-rankings/top_grossing/dating/us
10,com.cbs.app,Paramount+,"CBS Interactive, Inc.",/dev/CBS+Interactive%2C+Inc./,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
11,com.pandora.android,Pandora - Music & Podcasts,Pandora,/dev/Pandora/,Music & Audio,/stats/google-play-rankings/top_grossing/music_audio/us
12,com.disney.disneyplus,Disney+,Disney,/dev/Disney/,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
13,com.radio.pocketfm,Pocket FM: Audio Series,PocketFM,/dev/PocketFM/,Music & Audio,/stats/google-play-rankings/top_grossing/music_audio/us
14,tv.twitch.android.app,Twitch: Live Streaming,"Twitch Interactive, Inc.",/dev/Twitch+Interactive%2C+Inc./,Entertainment,/stats/google-play-rankings/top_grossing/entertainment/us
15,com.life360.android.safetymapd,Life360: Stay Connected & Safe,Life360,/dev/Life360/,Lifestyle,/stats/google-play-rankings/top_grossing/lifestyle/us
16,com.linkedin.android,LinkedIn: Community & Network,LinkedIn,/dev/LinkedIn/,Business,/stats/google-play-rankings/top_grossing/business/us
17,com.anthropic.claude,Claude by Anthropic,Anthropic PBC,/dev/Anthropic+PBC/,Productivity,/stats/google-play-rankings/top_grossing/productivity/us
